DateTimeUTC,FieldRef,UserRef,Comment
2017-09-28 13:39:24.878706,12345780,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient name accessed.
2017-09-28 13:39:24.878706,27850483,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient name accessed.
2017-09-28 13:39:24.972237,12345780,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient phone number accessed.
2017-09-28 13:39:24.972237,27850483,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient phone number accessed.
2017-09-28 13:39:49.239330,27850483,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient name accessed.
2017-09-28 13:39:49.257273,27850483,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient phone number accessed.
2017-09-28 13:40:33.004470,12345780,UserDirectory=QMI-QS-AAI; UserId=qlik,Field: name - Patient name accessed.
2017-09-28 13:40:33.004470,27850483,UserDirectory=QMI-QS-AAI; UserId=qlik,Field: name - Patient name accessed.
2017-09-28 13:40:33.055078,12345780,UserDirectory=QMI-QS-AAI; UserId=qlik,Field: name - Patient name accessed.
2017-09-28 13:40:33.055078,27850483,UserDirectory=QMI-QS-AAI; UserId=qlik,Field: name - Patient name accessed.
2017-09-28 13:40:33.105933,12345780,UserDirectory=QMI-QS-AAI; UserId=qlik,Field: phone - Patient phone accessed.
2017-09-28 13:40:33.105933,27850483,UserDirectory=QMI-QS-AAI; UserId=qlik,Field: phone - Patient phone accessed.
2017-09-28 13:40:33.132485,12345780,UserDirectory=QMI-QS-AAI; UserId=qlik,Field: phone - Patient phone accessed.
2017-09-28 13:40:33.132485,27850483,UserDirectory=QMI-QS-AAI; UserId=qlik,Field: phone - Patient phone accessed.
2017-09-28 13:43:24.683887,9869890,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient name accessed.
2017-09-28 13:43:25.188923,9869890,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
