DateTimeUTC,FieldRef,UserRef,Comment
2017-09-13 13:20:23.215982,12345780,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient name accessed.
2017-09-13 13:20:23.215982,27850483,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient name accessed.
2017-09-13 13:20:23.533290,12345780,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient phone number accessed.
2017-09-13 13:20:23.533290,27850483,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient phone number accessed.
2017-09-13 13:21:16.934283,9871601,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient name accessed.
2017-09-13 13:21:16.934283,9871520,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient name accessed.
2017-09-13 13:21:16.934283,9871459,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient name accessed.
2017-09-13 13:21:17.245755,9871601,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:21:17.245755,9871520,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:21:17.245755,9871459,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:21:36.157635,9871459,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient name accessed.
2017-09-13 13:21:36.368667,9871459,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:21:44.855291,9871520,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient name accessed.
2017-09-13 13:21:44.855291,9871459,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient name accessed.
2017-09-13 13:21:45.062597,9871520,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:21:45.062597,9871459,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:21:50.496614,9871601,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient name accessed.
2017-09-13 13:21:50.496614,9871520,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient name accessed.
2017-09-13 13:21:50.496614,9871459,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient name accessed.
2017-09-13 13:21:50.734257,9871601,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:21:50.734257,9871520,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:21:50.734257,9871459,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
2017-09-13 13:21:55.518183,9871520,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient name accessed.
2017-09-13 13:21:55.724426,9871520,UserDirectory=QMI-QS-AAI; UserId=qlik,Patient first name accessed.
